,Entity,Code,Year,Emissions
218,Philippines,%Oil,1956,93.7
219,Philippines,%Oil,1957,93.06
220,Philippines,%Oil,1958,94.07
221,Philippines,%Oil,1959,92.69
222,Philippines,%Oil,1960,93.13
223,Philippines,%Oil,1961,92.14
224,Philippines,%Oil,1962,93.34
225,Philippines,%Oil,1963,94.16
226,Philippines,%Oil,1964,94.21
227,Philippines,%Oil,1965,93.51
228,Philippines,%Oil,1966,94.22
229,Philippines,%Oil,1967,93.69
230,Philippines,%Oil,1968,93.9
231,Philippines,%Oil,1969,93.28
232,Philippines,%Oil,1970,94.77
233,Philippines,%Oil,1971,94.13
234,Philippines,%Oil,1972,94.27
235,Philippines,%Oil,1973,93.43
236,Philippines,%Oil,1974,93.95
237,Philippines,%Oil,1975,93.05
238,Philippines,%Oil,1976,93.21
239,Philippines,%Oil,1977,92.46
240,Philippines,%Oil,1978,92.03
241,Philippines,%Oil,1979,92.13
242,Philippines,%Oil,1980,90.57
243,Philippines,%Oil,1981,90.66
244,Philippines,%Oil,1982,89.53
245,Philippines,%Oil,1983,87.98
246,Philippines,%Oil,1984,82.99
247,Philippines,%Oil,1985,81.91
248,Philippines,%Oil,1986,84.36
249,Philippines,%Oil,1987,84.77
250,Philippines,%Oil,1988,84.63
251,Philippines,%Oil,1989,87.32
252,Philippines,%Oil,1990,84.53
253,Philippines,%Oil,1991,83.55
254,Philippines,%Oil,1992,85.24
255,Philippines,%Oil,1993,84.37
256,Philippines,%Oil,1994,84.61
257,Philippines,%Oil,1995,84.56
258,Philippines,%Oil,1996,81.62
259,Philippines,%Oil,1997,81.33
260,Philippines,%Oil,1998,81.88
261,Philippines,%Oil,1999,74.74
262,Philippines,%Oil,2000,70.45
263,Philippines,%Oil,2001,71.2
264,Philippines,%Oil,2002,67.05
265,Philippines,%Oil,2003,64.12
266,Philippines,%Oil,2004,63.9
267,Philippines,%Oil,2005,57.29
268,Philippines,%Oil,2006,58.1
269,Philippines,%Oil,2007,51.78
270,Philippines,%Oil,2008,50.75
271,Philippines,%Oil,2009,50.54
272,Philippines,%Oil,2010,50.15
273,Philippines,%Oil,2011,46.55
274,Philippines,%Oil,2012,46.75
275,Philippines,%Oil,2013,43.02
276,Philippines,%Oil,2014,42.58
277,Philippines,%Oil,2015,44.34
278,Philippines,%Oil,2016,43.69
279,Philippines,%Oil,2017,41.28
280,Philippines,%Oil,2018,40.47
281,Philippines,%Oil,2019,38.15
282,Philippines,%Oil,2020,34.64
283,Philippines,%Oil,2021,35.3
